sn,hn 
20080724,20170706
20080911,20170427
20081002,20170814
20081027,20170105
20071101,20170125
20071123,20170125
20071123,20150702
19970724,20151005
19991030,20150917
20040702,20150508
19910730,20160104
20030522,20160608
19910628,20160126
20020426,20160614
20031124,20151020
20021220,20160118
19910523,20160425
19910526,20160608
19980415,20160408
20080516,20150923
20080516,20150902
19920519,20150610
20020409,20150611
20080516,20160304
20080626,20160623
20081104,20140922
20030523,20141118
19910712,20141121
19920320,20141201
20020409,20141204
19910723,20131211
20070517,20150226
20020409,20171204
20060904,20171124
20000106,20170801
20011119,20081121
19970314,20100528
19920420,20100913
19920229,20110228
19920405,20020627
20060518,19750701
19910917,19981223
19910911,20040730
20060519,20040723
20011109,20090731
19910928,20100114
19910805,19940421
19910620,20050329
19910721,20070205
20160422,20070622
20160422,19981126
20131025,20140115
19920216,20170713
20120903,20170911
20121017,20171105
20121205,20171121
20130722,20171124
20091216,20171129
20130115,20171114
20130205,20170526
20110314,20170630
20110504,20170515
20110530,20170516
20091201,20180209
20091204,20170614
20091204,20180220
20091215,20110211
20091228,20170317
20091230,20180109
20100210,20171113
20100311,20170724
20100326,20170518
20100413,20180110
20120423,20171103
20120604,20170609
20120627,20170405
20120713,20170919
20120814,20171215
20130221,20171212
20130312,20180223
20130327,20180126
20130430,20180131
20130430,20180131
20130605,20171011
20130620,20180207
20130705,20180212
20130709,20171019
20130722,20171228
20130902,20160811
20131025,20161010
20131025,20160928
20090805,20160603
20131113,20160909
20131121,20160909
20131202,20160118
20131204,20151229
20140204,20150618
20140318,20160229
20140318,20150901
20140327,20160524
20140402,20151119
20140402,20160421
20140410,20160425
20150204,20150702
20150225,20150917
20150325,20150417
20150325,20150406
20101025,20141112
20101103,20141112
20101115,20141118
20110121,20050328
20110121,20070621
20110303,19991231
20170929,19990617
20171113,19981210
20171113,19850731
20160728,19981210
20160729,20040901
20161012,19961105
20160804,20140328
20160517,20140605
20160517,20140710
20160205,20140716
20161125,20111109
20160502,20111125
20160923,19940607
20160902,19870523
20160523,20120210
20151221,20100409
20151216,20140826
20161223,20080716
20161117,20081103
20170608,19990113
20170608,19991028
20170323,20070719
20161208,20021009
20170622,20031126
20170613,20090205
20170303,20090410
20160701,20121106
20160701,20110608
20161114,20110715
20170501,20110817
20170518,20070725
20160810,19981201
20161024,19991213
20170330,20120824
20161110,20121121
20161103,20010731
20150403,20070831
20150408,20071018
20151027,20080303
20160219,20130402
20160602,20130610
20160622,20130724
20150608,20131002
20150422,20121011
20150429,20020902
20150429,20170220
20150528,20171207
20150518,20170919
20151231,20170308
20160602,20170508
20150820,20170317
20150714,20170317
20150831,20170612
20160118,20170828
20151231,20180110
20160406,20180117
20160526,20171116
20150908,20170630
20150617,20170516
20150626,20170726
20151208,20170726
20150831,20170426
20160602,20161020
20160628,20161014
19911125,20170731
19911201,20171128
20030909,20171010
20020723,20180124
19911214,20160822
20060330,20170406
19990930,20160303
20040224,20170727
19910808,20161004
19910806,20161025
20040625,20160829
20061221,20161031
20040212,20170203
19910603,20160729
19910903,20161020
20020304,20161020
19920421,20170605
20020201,20161118
19911013,20161214
20020830,20161129
19920311,20170126
20011126,20161130
20050527,20161219
19920403,20161108
20010503,20170119
20050303,20160824
19981029,20161004
20080516,20170717
20080626,20161121
19910731,20170427
20060510,20170428
20050414,20161208
20031128,20160902
19910701,20160226
20010510,20161010
19910705,20171109
20080516,20171019
20080219,20151208
20100820,20160927
20020409,20160706
19910630,20160714
19911017,20171208
19970314,20151109
19911121,20161212
20050413,20150611
20170707,
20170530,
20170222,
20170628,
20170517,
20171229,
20180131,
20170317,
20170831,
20171116,
20171103,
20171215,
20170517,
20171030,
20170728,
20180124,
20180130,
20180130,
20170929,
20040423,
20020704,
20040404,
20080502,
20100504,
20100528,
20100708,
20100914,
20021008,
20070216,
20050124,
19970602,
19911030,
20020409,
20120314,
20120327,
20140529,
20140529,
20140617,
20140630,
20110725,
20000801,
19970307,
20110622,
20110720,
20110823,
20110908,
20111107,
20111123,
20120104,
20140724,
20140812,
20140929,
20141014,
20141113,
20141216,
20141217,
19911205,
20081125,
20081219,
20090225,
20090402,
20080714,
20080813,
20070808,
20071123,
20071126,
19970314,
19971010,
19991030,
19910918,
19920120,
20000522,
19920406,
19911226,
20050311,
19920127,
19911108,
20000106,
20050708,
19910910,
19911227,
20040908,
20070131,
20160219,
20160422,
20151001,
20150429,
20150403,
20130722,
20130729,
20130902,
20140117,
20140219,
20140326,
20140402,
20140402,
20140410,
20150216,
20150309,
20101013,
20101115,
20101130,
20110126,
20110314,
20110330,
20091008,
20091012,
20091201,
20091204,
20091208,
20091228,
20100122,
20100309,
20100319,
20120412,
20120531,
20120531,
20091130,
20090714,
20121226,
20130117,
20120615,
20120629,
20120720,
20130214,
20130327,
20130327,
20130508,
20130614,
20130705,
20091130,
20120531,
20110504,
20110519,
20110616,
20050926,
20090311,
20040330,
20120831,
20121114,
20121210,
20010131,
20050302,
20011016,
20020409,
20020409,
20020409,
20170728,
20170713,
20170614,
20170908,
20170530,
20171031,
20170919,
20171024,
20180207,
20180213,
20171113,
20171229,
20170620,
20170406,
20170707,
20171031,
20180228,
20180131,
20170317,
20160712,
20161201,
20171201,
20170330,
20161124,
20170608,
20161215,
20170501,
20170523,
20160907,
20170717,
20170110,
20170502,
20170608,
20160701,
20160701,
20170622,
20160523,
20170630,
20170717,
20151221,
20160517,
20151216,
20160407,
20160825,
20170929,
20160804,
20161125,
20160504,
20180130,
20161125,
20151208,
20160728,
20170118,
20151005,
20150714,
20150714,
20150731,
20150714,
20110519,
20160603,
20150820,
20160513,
20150703,
20150803,
20020425,
20020425,
19920915,
19920201,
19910625,
20050214,
19890515,
19890515,
19980107,
20081212,
20081216,
19991110,
19990220,
20051216,
20050112,
19931023,
20071130,
20091214,
20091216,
19960401,
19970311,
19991108,
20080131,
19981024,
20050817,
20020425,
19890510,
20060807,
20110412,
20110518,
20121112,
20121120,
20121126,
20130823,
20130828,
20130829,
20020108,
20040705,
19950403,
20060921,
20071204,
20071213,
20080827,
20080904,
20090622,
20090630,
20090702,
20030708,
20080104,
20030701,
20010511,
19901101,
19920201,
20020425,
20031113,
19970826,
19970407,
19961220,
20050711,
19970630,
20020117,
20060804,
20060420,
20091008,
19890510,
19890510,
19890510,
20040108,
19960531,
19981111,
20020426,
,
20060320,
20040601,
20050411,
19980421,
19990624,
20050124,
19950714,
19920201,
19960127,
20070419,
19971024,
19990709,
19920201,
19920201,
19981231,
19990209,
19890510,
20011016,
19951027,
20061017,
19890510,
19930409,
19920626,
19890510,
20010511,
20051130,
19961030,
19991006,
20080509,
20090122,
20090211,
20091103,
20070813,
20070816,
20070827,
20070829,
20090216,
20090304,
20091118,
20091127,
20091127,
19920201,
19920201,
20090714,
20040129,
19951204,
20030425,
20140702,
20101026,
20121105,
20121112,
20130813,
20130819,
20130819,
20130820,
20030908,
20130823,
20130823,
20070709,
20070712,
20080407,
20081224,
20091028,
20070807,
20070810,
20080509,
20080507,
20050321,
20061120,
20080116,
20080125,
20080129,
20081007,
20090727,
20090804,
19990203,
20000905,
19990118,
19960823,
19970305,
20000527,
19990303,
20020425,
20030326,
20061004,
20071012,
20071017,
20080623,
20080701,
20090420,
19890510,
19890510,
20011105,
19910220,
19910403,
19920502,
19910211,
20051024,
19890610,
20000417,
19920201,
19890510,
20020311,
19890510,
19980520,
20070309,
20021212,
20040317,
19921027,
19890510,
19920201,
19961002,
19890510,
19890510,
20051011,
20020528,
19920201,
19890301,
20101004,
20101007,
20101012,
20011206,
20060614,
20050715,
19920428,
19890510,
19930617,
19970609,
19920509,
19941226,
19940926,
19950525,
19950708,
19980827,
19960330,
20050429,
20050804,
20020425,
19890510,
19890510,
19960702,
19981229,
19990106,
20020919,
19960701,
19920201,
19920201,
20020425,
20050804,
19850311,
19960316,
19921030,
20030515,
19990713,
20080509,
19990325,
20110315,
20130527,
20130603,
20130607,
20140127,
20110617,
19890510,
20031224,
20040616,
20100112,
20071023,
20080723,
20090506,
20090520,
20100205,
20100205,
20071113,
19990728,
19920201,
19960508,
20040129,
19981205,
20011115,
20030905,
19920915,
20110620,
20020525,
20020525,
20020525,
20030731,
20050225,
20060921,
20061228,
20070427,
20070629,
19970220,
20030909,
20000803,
20080609,
20080612,
20090408,
20050128,
20050128,
20070326,
20030423,
20030703,
20011112,
19960404,
19920201,
19890510,
19981030,
19920201,
19970509,
20030318,
20030519,
20101108,
20101112,
20110718,
20110718,
20110726,
20040821,
19950831,
19950816,
19951124,
19960704,
19910219,
19890510,
19890510,
20120319,
19980601,
19980818,
19981103,
20090720,
20130813,
20061013,
20120228,
20120229,
20120313,
20060828,
20101018,
20101025,
20101101,
20110627,
20120315,
20120320,
20060330,
19891122,
19990622,
20101104,
20030227,
20020620,
20021125,
20080731,
20080811,
20090522,
20090526,
20090601,
20100212,
20100303,
20071204,
20090616,
20100325,
20061103,
20051219,
20070627,
19921104,
20020731,
19981104,
20050128,
19950109,
19950831,
20141222,
20141222,
20141229,
20150102,
20150109,
20150109,
20150112,
20150113,
20090921,
20080325,
20080325,
19971104,
20001026,
20060614,
20061016,
20010925,
19911230,
19981111,
19981202,
19990811,
20020118,
19990202,
20020425,
20060809,
20031211,
20040305,
19890510,
19920201,
20050812,
19970227,
20050720,
20030627,
20030818,
20011102,
19890510,
20020425,
20020425,
20020425,
20020425,
19960702,
19960118,
20020525,
19930313,
19920622,
20080602,
19980425,
20061011,
20020719,
20100726,
20110415,
20110425,
20111219,
20061215,
20030926,
20110426,
20110426,
20110427,
20110503,
20120102,
20120104,
20100826,
20100827,
20110511,
20110519,
20110524,
19940113,
20090921,
20010925,
19920313,
20070601,
20061113,
19960724,
19890510,
20040330,
20100909,
20070405,
20030623,
19980105,
20040722,
20020305,
19981110,
20011026,
19951218,
20011201,
20100618,
20110308,
20110318,
20110321,
20111121,
20041223,
20070118,
20100708,
20100712,
20100715,
20110802,
20070323,
19981103,
20101213,
20110816,
20120116,
20120117,
20120118,
20120130,
20120131,
20150122,
20150128,
20150129,
20150128,
20150129,
20150202,
20150203,
20150211,
20150212,
20150213,
20150214,
20150213,
20040409,
20110308,
20050112,
20061123,
20041223,
20041223,
20031229,
20011110,
20110819,
20110823,
19950117,
19970228,
20000106,
20070216,
20031028,
20070329,
20110826,
19970117,
20100330,
20100402,
20100406,
20110901,
20110914,
19830101,
20110920,
20100413,
19970430,
19970618,
19951211,
20020729,
19971023,
20020416,
20040117,
20081111,
20110331,
20110414,
20110331,
20110405,
20111212,
20111213,
20100721,
20100721,
20110107,
20110926,
20111005,
20041126,
20100428,
20110127,
20110131,
20111007,
20111012,
19941128,
19890510,
20140801,
20140818,
20140822,
20140901,
20140901,
20140904,
20140905,
20140922,
20140923,
20140929,
20140929,
20141007,
20141008,
20141008,
20141022,
20141024,
20050330,
20070315,
20110511,
20020614,
20041214,
20030318,
20021012,
20141030,
20141030,
20141106,
20141111,
20141114,
20141117,
20141117,
20140918,
19920502,
19970913,
19991015,
20060209,
20020109,
19950921,
20010823,
19990916,
20011124,
19950912,
20101124,
20110801,
20110802,
20000816,
20061102,
20100520,
20110131,
20141118,
20141121,
19930802,
20030813,
20080216,
20081027,
20090814,
20001117,
20010804,
20050906,
19890415,
20081105,
20081114,
20090904,
20060223,
20041101,
20041223,
20020814,
19920504,
19890510,
20110214,
20111019,
20111024,
20111101,
20100604,
20110223,
20110224,
20110303,
20111103,
20111104,
20111107,
20000721,
19891228,
19911219,
19920504,
19890410,
19890510,
19890510,
19890510,
19891216,
19900615,
19940308,
20020511,
19970621,
20100414,
20150306,
20150309,
20140711,
20140717,
20140728,
20140729,
20140801,
20101206,
20100413,
20100421,
20100423,
19941005,
20021202,
20030113,
19981007,
20131220,
20040707,
20130902,
20041217,
19970410,
20100930,
20020525,
19890412,
20120327,
20120402,
20121203,
20050517,
20050714,
20110830,
20141124,
20141126,
20141203,
20141203,
20141209,
20141212,
20141215,
20141216,
20141217,
20140926,
20141015,
20030829,
20060712,
20070601,
20020114,
20010530,
19940623,
19950113,
20030702,
19970806,
19940506,
19900917,
19920323,
19961121,
20080307,
20081121,
20081121,
20090911,
20040528,
20041130,
20040426,
19970410,
19970609,
19921212,
19920623,
19930520,
19931222,
20010320,
20070302,
19920201,
19960910,
20031215,
20040310,
20021031,
20120529,
20120531,
20120531,
20120605,
20120614,
20140402,
20140408,
20130626,
20140414,
20140417,
20140418,
20081231,
20090204,
20120903,
20120911,
20120911,
20130717,
20130718,
20020425,
20020425,
20020425,
20030425,
20121004,
20120507,
20120430,
20120501,
20130114,
20130118,
20131106,
20131112,
20131118,
20131120,
20140226,
20080325,
20130830,
20131119,
20080410,
20110712,
20121211,
20091204,
20120806,
20120806,
19980417,
20130617,
20130624,
20130625,
20121206,
20100805,
20130912,
20130923,
19970327,
20060504,
20120409,
20030401,
19950411,
19960812,
19910710,
20121231,
20131008,
20131015,
20131030,
20050817,
19930906,
20120430,
20020425,
20020425,
20020425,
20020425,
20140501,
20140507,
20140508,
20140509,
20090728,
20091021,
20120918,
20120925,
20120627,
20120702,
20130318,
20130321,
20130409,
20130409,
20100331,
20100416,
20080826,
20080808,
19990914,
20020731,
20010726,
19960720,
20120712,
20120716,
20120718,
20130415,
20130415,
20060705,
20040330,
20030707,
19981217,
20140408,
20020425,
20020425,
20020425,
20020425,
20020425,
20020528,
20020528,
20020528,
20140514,
20140515,
20140610,
20091229,
20140306,
20080821,
20081016,
20120806,
20120814,
20120827,
20030403,
20070308,
20070611,
20120510,
20130130,
19970103,
20081013,
20131202,
20131205,
19920504,
20150623,
20150624,
20150626,
20151109,
20151111,
20160222,
20151130,
20150630,
20100209,
20100510,
20121012,
20020525,
20020525,
20020528,
20020528,
20000616,
19920511,
20020628,
20070904,
20120723,
20120725,
19981127,
20130423,
20130423,
20130430,
20130726,
20130726,
20130729,
20130807,
20030904,
20140620,
20140625,
20140701,
20140113,
20140120,
20140123,
20120202,
20120202,
20120203,
20120206,
20110526,
20110603,
20120213,
20120221,
20021028,
20160225,
20160226,
20160520,
20150730,
20160302,
20160303,
20160303,
20151117,
20151119,
20130318,
20131213,
20131218,
20131223,
20000523,
20020510,
20050627,
20120620,
20120620,
20160525,
20150317,
20160120,
20160212,
20150817,
20150819,
20150826,
20150519,
20150923,
20150826,
20160615,
20151104,
20150831,
20151118,
20151006,
20151013,
20160329,
20151013,
20151008,
20160412,
20160412,
20150804,
20150804,
20150310,
20150312,
20150313,
20150320,
20150325,
20150326,
20150326,
20150401,
20150409,
20150410,
20150414,
20150415,
20150416,
20150901,
20150721,
20160419,
20160524,
20160615,
20150417,
20150420,
20150420,
20150421,
20150428,
20150428,
20150429,
20150430,
20150512,
20151203,
20160225,
20150605,
20160517,
20151208,
20151208,
20150327,
20150415,
20150619,
20170106,
20170303,
20170123,
20170131,
20170302,
20170327,
20170116,
20160714,
20170321,
20170322,
20170706,
20160802,
20161027,
20170321,
20170112,
20161229,
20160630,
20170711,
20160104,
20170117,
20170412,
20150713,
20170421,
20170810,
20170810,
20170810,
20161230,
20160629,
20160630,
20160810,
20170215,
20160929,
20160902,
20161010,
20150518,
20150727,
20150615,
20150702,
20151005,
20150702,
20151012,
20150709,
20150827,
20160518,
20150528,
20150528,
20160615,
20150729,
20150528,
20150529,
20150602,
20001121,
20151123,
20151123,
20160425,
20160517,
20150612,
20150807,
20151028,
20151211,
20151106,
20160706,
20160707,
20160725,
20160726,
20160805,
20160623,
20151224,
20151224,
20160923,
20161220,
20161220,
20160126,
20160318,
20160908,
20160318,
20160113,
20160120,
20161005,
20161129,
20170202,
20170202,
20160711,
20170612,
20170313,
20170426,
20161124,
20161024,
20170417,
20161212,
20160715,
20170914,
20170914,
20170914,
20161222,
20161118,
20161219,
20160216,
20160216,
20160407,
20161215,
20160912,
20151217,
20151229,
20160107,
20161018,
20160927,
20160927,
20161017,
20170203,
20170206,
20170203,
20170207,
20170727,
20160922,
20160922,
20161213,
20161228,
20170217,
20170220,
20160728,
20170531,
20170612,
20170831,
20180129,
20170918,
20180214,
20180109,
20171228,
20180226,
20161220,
20160126,
20151124,
20151204,
20160211,
20160322,
20160322,
20160708,
20160809,
20160428,
20151130,
20170105,
20161019,
20151103,
20161202,
20161110,
20160415,
20160128,
20151215,
20160819,
20160824,
20160905,
20160325,
20160321,
20160307,
20160218,
20170105,
20161110,
20161110,
20161110,
20161116,
20160401,
20160104,
20160311,
20160415,
20160224,
20160322,
20161117,
20170111,
20161216,
20161220,
20160422,
20161019,
20160211,
20160315,
20151125,
20151222,
20161118,
20161208,
20161011,
20161020,
20160614,
20151113,
20151116,
20161223,
20160705,
20170529,
20171117,
20170525,
20170808,
20170817,
20170817,
20170817,
20180122,
20180122,
20170822,
20171205,
20170911,
20170512,
20170515,
20170222,
20180105,
20170413,
20171018,
20171212,
20180205,
20180205,
20171107,
20180130,
20171017,
20171027,
20171227,
20171110,
20171108,
20170720,
20170724,
20171214,
20170307,
20170222,
20170718,
20171115,
20180117,
20180223,
20171124,
20180212,
20171116,
20171213,
20170915,
20180227,
20180227,
20180227,
20171110,
20171110,
20171025,
20171025,
20160609,
20160530,
20151110,
20160819,
20160614,
20160512,
20160831,
20160829,
20160822,
20170928,
20180201,
20180201,
20150114,
20100818,
20110427,
20110428,
20110503,
20120104,
20100825,
20110506,
20110516,
20110520,
19970510,
20030818,
19940819,
20150114,
19971121,
20080326,
20080320,
19970130,
20060907,
20061026,
19890912,
19920501,
20080324,
20020416,
20050201,
19950629,
20060303,
20070426,
20170703,
20170626,
20170418,
20170418,
20170306,
20171201,
20171020,
20170428,
20171102,
20170718,
20170718,
20170518,
20170614,
20170308,
20171031,
20180202,
20170728,
20170724,
20170511,
20170315,
20170328,
20170315,
20170907,
20170907,
20170215,
20170405,
20180131,
20180213,
20180222,
20170710,
20170713,
19920201,
19980921,
20051117,
19951213,
20011214,
20050401,
20050718,
19920201,
20050128,
19890510,
20060120,
20020525,
20040330,
20060607,
20011127,
20060929,
19890510,
20100715,
20120112,
20050727,
19960418,
20010830,
20040601,
20030502,
19970508,
19941124,
20030521,
19980115,
20020516,
20030729,
20050826,
20040330,
19900804,
19940803,
20100723,
20090318,
20020517,
20020117,
20100112,
20071026,
20090507,
20090520,
20071109,
20071115,
19960613,
19980722,
20061115,
20100621,
20110315,
20110322,
19980210,
20100705,
20100714,
20141219,
20141223,
20150102,
20150106,
20150109,
19901022,
20060817,
20060716,
20070131,
19951123,
20011103,
20070921,
20130821,
19951127,
20110624,
20120305,
20120313,
20101013,
20101020,
20110624,
20110629,
20120315,
20060117,
19890515,
20101104,
20110330,
20110331,
20111212,
20111212,
20041223,
20100723,
20110412,
20110415,
20080612,
20090403,
20071011,
20060525,
20020525,
20030415,
20080811,
20090520,
20090525,
20090528,
20100212,
20071127,
20080813,
20020722,
20100614,
19890511,
20101005,
20110615,
20110617,
20070911,
20011029,
19970407,
20020425,
20030612,
20031124,
19920212,
19890510,
19960613,
20060216,
20090119,
20090130,
20091110,
20070814,
20070817,
20090213,
20090225,
20091113,
20070830,
20061013,
20060127,
19950418,
20070413,
19961102,
19981110,
19980515,
20010308,
19961209,
19990111,
20031014,
19981127,
19920509,
19890510,
19960413,
20050203,
20070619,
20011029,
20020518,
20060817,
19991004,
19930820,
19941128,
19980109,
20011210,
20080624,
19920201,
19970529,
20050704,
20030704,
19970808,
20060223,
20010904,
19990102,
19890510,
20021031,
19910710,
19920323,
20020423,
20040304,
20070315,
19941208,
20040421,
20100326,
20021206,
20041202,
20010221,
19890510,
20110411,
20111011,
20121115,
20130823,
20011023,
20091204,
20091217,
20091202,
19951009,
19890510,
20000404,
20031023,
20020603,
20090406,
20130814,
20130821,
20130823,
19990120,
20070705,
20070711,
20080408,
20091015,
20070803,
20070810,
20080507,
20080122,
20081002,
20090721,
20090728,
20090804,
19980417,
20000807,
19920201,
19890510,
19920201,
20020913,
19920201,
20101108,
20110712,
20110718,
20110719,
20021030,
20030329,
20030321,
20060622,
20010619,
19991201,
19920511,
19970228,
19920201,
20020325,
20041223,
19980507,
20130520,
20130524,
20130531,
20130605,
20140127,
20140210,
19890510,
20140702,
20101011,
20101201,
20000623,
20131213,
20131217,
19990410,
20031017,
20041214,
19990223,
20120627,
20020425,
20020425,
20140219,
20080220,
20050920,
20130902,
20130903,
20120323,
20071105,
20110705,
20070131,
20080905,
20070523,
20061123,
20060202,
19890510,
20060811,
20091007,
20110309,
19910311,
20020510,
20040402,
19981119,
20070115,
20050112,
20050304,
20090713,
20090717,
20050119,
20111027,
20120830,
20120906,
20120910,
20120911,
20041223,
19950404,
20071211,
20080825,
20090619,
20090701,
20090702,
20071227,
20080922,
19971209,
19960823,
20040329,
20010724,
20000710,
20041230,
19890515,
19890510,
19981127,
20020918,
20051122,
19990213,
20090529,
20030519,
19980514,
20060329,
20110308,
20100803,
20040913,
20110607,
20120803,
20130610,
20130620,
20140304,
20080804,
20080902,
20120810,
20120814,
20130703,
20130709,
19981229,
20120223,
19981223,
19890510,
19920818,
20120521,
20130214,
20130228,
20131204,
19960701,
20140507,
20140509,
20140509,
20091006,
20091207,
20120919,
20120323,
20121129,
20121203,
20130904,
20120628,
20130320,
20130326,
20130409,
20050408,
20101110,
20130910,
20130930,
19920915,
20120403,
20040818,
19960919,
19950410,
19981001,
20131008,
20120917,
20020425,
20140616,
20131017,
20131022,
20131106,
19990706,
20120430,
20120501,
20130104,
20130123,
20131108,
20131114,
19970812,
20000929,
20120118,
20120131,
20150121,
20150126,
20150128,
20150129,
20150130,
20150204,
20150211,
20150214,
20150216,
20150223,
20050523,
20040812,
20031222,
20100513,
20100527,
20110207,
20040329,
20011110,
20120530,
20120604,
20120613,
20121226,
20140403,
20020525,
20070514,
20050112,
20000122,
20041119,
20110309,
19900209,
19890510,
20070704,
20080312,
20081204,
20090915,
20110105,
20110928,
20050629,
20100510,
20110128,
20111012,
20111019,
19970227,
20140805,
20140819,
20140825,
20140901,
20140904,
20140904,
20140919,
20140922,
20140924,
20140929,
20141001,
20141013,
20141017,
20141023,
20050121,
20070427,
20090824,
19980107,
19920201,
20080225,
20090904,
20090907,
20060316,
20050128,
20050304,
19890510,
20110916,
20110920,
20010308,
20100419,
20150309,
20140709,
20061023,
20140722,
20140801,
20110208,
20110218,
20110802,
20150216,
20111027,
20100603,
20100614,
20110228,
20110316,
20111103,
19890510,
19891228,
19990501,
20050308,
20100421,
20141031,
20141107,
20141117,
20141117,
20070214,
20101129,
20110801,
20050720,
20030423,
19950509,
20110811,
20120112,
20120117,
19970913,
20010102,
20051215,
19970318,
20040114,
19930114,
19971205,
20031204,
20010329,
20060614,
20031213,
20040224,
20170828,
20160411,
20150528,
20150602,
20150603,
20151008,
20170810,
20170810,
20160817,
20150916,
20150702,
20160928,
20160929,
20160929,
20150708,
20160629,
20100423,
20110104,
20050519,
20150128,
19950626,
19941226,
20050803,
20050112,
20050117,
20141126,
20141127,
20141203,
20141203,
20141210,
20141216,
20141217,
20141216,
20141002,
20141027,
20040106,
20150722,
20150909,
20150818,
20150724,
20150728,
20141117,
20141120,
20141121,
20110819,
20110825,
20040204,
20070309,
20070601,
20060907,
19960325,
20100331,
20110830,
20060713,
20080201,
20081013,
20090811,
20150416,
19900829,
19960729,
20050406,
20070720,
20120720,
20120724,
20020918,
20130422,
20130424,
20130513,
20151106,
20150721,
20160418,
20150527,
20150528,
20151013,
20160525,
20160525,
20160328,
20150902,
20151013,
20151012,
20160113,
20160120,
20151230,
20160517,
20160418,
20160616,
20151014,
20150813,
20150817,
20120704,
20120709,
20080918,
20020128,
20130410,
20060810,
20050817,
19990417,
20120531,
20140402,
20020425,
20020425,
20020425,
20150708,
20150630,
20150603,
20150610,
20150612,
20160608,
20160226,
20160307,
20151027,
20160223,
20160517,
20160518,
20151029,
20150727,
20151005,
20170105,
20161110,
20161110,
20161110,
20150519,
20150519,
20150921,
20130726,
20130730,
20140616,
20140625,
20140701,
20140701,
20150910,
20150930,
20160616,
20160616,
20150422,
20150428,
20150428,
20150507,
20150826,
20151016,
20140120,
20140122,
20090116,
20151111,
20151022,
20151023,
20150615,
20160615,
20160615,
20071024,
20120202,
20070212,
20110608,
20120215,
20120221,
20160225,
20151202,
20020525,
20140512,
20140603,
20140613,
20100114,
20121010,
20030124,
20150624,
20150630,
20160411,
20150803,
20150804,
20150804,
20150313,
20150318,
20150323,
20150325,
20150327,
20160112,
20070920,
20150408,
20150414,
20150415,
20170102,
20160818,
20160816,
20180207,
20180201,
20160601,
20180129,
20180129,
20180214,
20161227,
20160907,
20151215,
20180122,
20160809,
20160809,
20160614,
20171116,
20171116,
20160331,
20160412,
20160720,
20160722,
20170124,
20161125,
20180212,
20160323,
20170106,
20160826,
20170111,
20161216,
20161216,
20161220,
20161018,
20160429,
20160426,
20160314,
20151103,
20151104,
20180221,
20180117,
20180117,
20160512,
20160516,
20180110,
20160331,
20151124,
20151207,
20160322,
20180125,
20171017,
20160304,
20151119,
20161227,
20160816,
20161101,
20160819,
20161012,
20161017,
20170111,
20170831,
20170317,
20160718,
20151224,
20160923,
20161111,
20161220,
20161221,
20170712,
20170714,
20170914,
20170914,
20170427,
20170913,
20170531,
20161226,
20170629,
20170109,
20170117,
20170117,
20161102,
20161109,
20161109,
20161118,
20160822,
20160905,
20170927,
20161005,
20161118,
20160604,
20171115,
20171115,
20161208,
20170220,
20161223,
20170110,
20010122,
20160728,
20161024,
20161109,
20170425,
20160706,
20160706,
20160707,
20160707,
20160727,
20160805,
20170612,
20170831,
20160623,
20160504,
20171129,
20160217,
20161130,
20170928,
